Player,BestAchievement,AchievScore,Notes
WANG CHUQIN,World Champion,6,2023 World Champion; 2022 World Cup winner
FAN ZHENDONG,Olympic Champion,7,2024 Olympic gold; 2019+2023 World Champion; 2020 Olympic silver
FELIX LEBRUN,Olympic Bronze,5,2024 Olympic bronze; youngest-ever Olympic TT singles medallist
HUGO CALDERANO,Olympic 4th place,4,2024 Olympic semi-final; first non-Asian/European to reach Olympic SF
LIN YUN-JU,World Championship QF,3,Consistent top-8 finisher at majors
TOMOKAZU HARIMOTO,World Championship SF,3,2019 World Championship finalist (youngest ever); multiple WTT titles
DANG QIU,European Champion,3,2022 European Champion; World Team Championship silver
JANG WOO-JIN,Olympic Team Gold,4,2020 Olympic team gold with South Korea
DIMITRIJ OVTCHAROV,Olympic Bronze x2,5,2012 and 2021 Olympic bronze; former World No.1; World Cup winner
SHUNSUKE TOGAMI,WTT Champion,2,WTT Champions title winner; top-15 world ranking
ALEXIS LEBRUN,WTT Finals SF,2,2024 WTT Finals semi-finalist; rapid rise in world rankings
MARCOS FREITAS,World Championship QF,2,Multiple World Championship QF appearances; European medalist
DARKO JORGIC,World Championship SF,3,2021 Olympic R16 upset over Harimoto; European Championship silver
QUADRI ARUNA,World Championship QF,2,First African player to reach World Championship QF
CHO DAE-SEONG,Olympic Team Gold,4,2020 Olympic team gold with South Korea
OMAR ASSAR,Olympic QF,3,2020 Olympic QF; first Arabic-speaking player to reach Olympic QF
JONATHAN GROTH,European Championship medal,2,Multiple European Championship appearances
ANTON KALLBERG,European Championship medal,2,European Championship bronze; Sweden team player
TRULS MOREGARDH,Olympic Silver,6,2024 Olympic silver; upset Wang Chuqin and Calderano
KAO CHENG-JUI,World Championship R16,2,Consistent top-32 finisher at majors
ALVARO ROBLES,European Championship medal,2,European Championship bronze; Spanish No.1
EDWARD LY,WTT Contender title,1,WTT Contender winner; Canadian No.1
NICHOLAS LUM,Commonwealth Games medal,1,Commonwealth Games medalist; Australian No.1
SHARATH KAMAL ACHANTA,Commonwealth Games Champion,2,Multiple Commonwealth Games gold medals; Indian legend
LIAM PITCHFORD,European Championship medal,2,European Championship bronze; British No.1
FINN LUU,WTT Contender,1,WTT Contender appearances; Australian player
OVIDIU IONESCU,European Championship medal,2,European Championship bronze
KIRILL GERASSIMENKO,WTT Contender title,2,WTT Contender winner; Kazakhstan No.1
MOHAMED EL-BEIALI,African Champion,1,African Championship winner; Egyptian No.2
WONG CHUN TING,World Championship R16,2,Consistent top-32 at majors; Hong Kong No.1
NOSHAD ALAMIAN,Asian Championship medal,1,Asian Championship appearances; Iran No.1
TOMISLAV PUCAR,European Championship medal,2,European Championship bronze; Croatia No.1
ANDY PEREIRA,Pan American Champion,1,Pan American Championship winner
NICOLAS BURGOS,Pan American Championship medal,1,Pan American Championship medalist
ANDERS LIND,European Championship medal,2,European Championship appearances; Denmark No.2
DANIEL HABESOHN,European Championship medal,2,European Championship bronze; Austria No.1
TIAGO APOLONIA,European Championship medal,2,European Championship bronze; Portugal No.1
ANDREJ GACINA,European Championship medal,2,European Championship bronze; Croatia No.2
WANG YANG,European Championship medal,2,European Championship appearances; Slovakia No.1
EDUARD IONESCU,European Championship medal,1,European Championship appearances; Romania No.2
MILOSZ REDZIMSKI,European Championship medal,1,European Championship appearances; Poland No.1
BRIAN AFANADOR,Pan American Championship medal,1,Pan American Championship medalist
ALBERTO MINO,Pan American Championship medal,1,Pan American Championship medalist; Ecuador No.1
MARTIN ALLEGRO,European Championship medal,1,European Championship appearances; Belgium No.2
SANTIAGO LORENZO,Pan American Championship medal,1,Pan American Championship medalist; Argentina No.1
MARCOS MADRID,Pan American Championship medal,1,Pan American Championship medalist; Mexico No.1
IZAAC QUEK,Commonwealth Games medal,1,Commonwealth Games medalist; Singapore No.1
VITOR ISHIY,Pan American Championship medal,1,Pan American Championship medalist; Brazil No.2
KANAK JHA,WTT Contender,1,WTT Contender appearances; USA No.1
