Seed,Player,Country,R64_Opponent,R32_Opponent,R16_Opponent,QF_Opponent,SF_Opponent,F_Opponent,Result
1,WANG CHUQIN,CHN,WANG YANG,TRULS MOREGARDH,,,,,Second round
2,FAN ZHENDONG,CHN,BYE,WONG CHUN TING,KANAK JHA,TOMOKAZU HARIMOTO,FELIX LEBRUN,TRULS MOREGARDH,Champion
3,FELIX LEBRUN,FRA,BYE,ANTON KALLBERG,DIMITRIJ OVTCHAROV,LIN YUN-JU,FAN ZHENDONG,HUGO CALDERANO,Bronze
4,HUGO CALDERANO,BRA,BYE,ALVARO ROBLES,ALEXIS LEBRUN,JANG WOO-JIN,TRULS MOREGARDH,,Fourth place
5,LIN YUN-JU,TPE,BYE,ANDREJ GACINA,DARKO JORGIC,FELIX LEBRUN,,,Quarterfinal
6,TOMOKAZU HARIMOTO,JPN,BYE,NOSHAD ALAMIAN,ANDERS LIND,FAN ZHENDONG,,,Quarterfinal
7,DANG QIU,GER,BYE,KIRILL GERASSIMENKO,,,,, Second round
8,JANG WOO-JIN,KOR,BYE,JONATHAN GROTH,SHUNSUKE TOGAMI,HUGO CALDERANO,,,Quarterfinal
9,DIMITRIJ OVTCHAROV,GER,BYE,VITOR ISHIY,FELIX LEBRUN,,,, Round of 16
10,SHUNSUKE TOGAMI,JPN,BYE,DENI KOZUL,JANG WOO-JIN,,,,Round of 16
11,ALEXIS LEBRUN,FRA,BYE,TOMISLAV PUCAR,HUGO CALDERANO,,,,Round of 16
12,MARCOS FREITAS,POR,BYE,,,,,, First round
13,DARKO JORGIC,SLO,BYE,IZAAC QUEK,LIN YUN-JU,,,,Round of 16
14,QUADRI ARUNA,NGR,BYE,,,,,, First round
15,CHO DAE-SEONG,KOR,BYE,,,,,, First round
16,OMAR ASSAR,EGY,BYE,ALBERTO MINO,KIRILL GERASSIMENKO,TRULS MOREGARDH,,,Quarterfinal
17,JONATHAN GROTH,DEN,BYE,JANG WOO-JIN,,,,, Second round
18,ANTON KALLBERG,SWE,BYE,FELIX LEBRUN,,,,, Second round
19,TRULS MOREGARDH,SWE,BYE,WANG CHUQIN,KAO CHENG-JUI,OMAR ASSAR,HUGO CALDERANO,FAN ZHENDONG,Silver
20,KAO CHENG-JUI,TPE,BYE,EDUARD IONESCU,TRULS MOREGARDH,,,,Round of 16
21,ALVARO ROBLES,ESP,BYE,HUGO CALDERANO,,,,, Second round
22,EDWARD LY,CAN,BYE,,,,,, First round
23,NICHOLAS LUM,AUS,BYE,,,,,, First round
24,SHARATH KAMAL ACHANTA,IND,BYE,,,,,, First round
25,LIAM PITCHFORD,GBR,BYE,DARKO JORGIC,,,,, Second round
26,FINN LUU,AUS,BYE,,,,,, First round
27,OVIDIU IONESCU,ROU,BYE,,,,,, First round
28,KIRILL GERASSIMENKO,KAZ,BYE,NICOLAS BURGOS,OMAR ASSAR,,,,Round of 16
29,MOHAMED EL-BEIALI,EGY,BYE,,,,,, First round
30,WONG CHUN TING,HKG,BYE,FAN ZHENDONG,,,,, Second round
31,NOSHAD ALAMIAN,IRI,BYE,TOMOKAZU HARIMOTO,,,,, Second round
32,TOMISLAV PUCAR,CRO,BYE,ALEXIS LEBRUN,,,,, Second round
33,ANDY PEREIRA,CUB,BYE,,,,,, First round
34,NICOLAS BURGOS,CHI,BYE,KIRILL GERASSIMENKO,,,,, First round
35,ANDERS LIND,DEN,BYE,MIŁOSZ REDZIMSKI,TOMOKAZU HARIMOTO,,,,Round of 16
36,DANIEL HABESOHN,AUT,BYE,,,,,, First round
37,TIAGO APOLONIA,POR,BYE,,,,,, First round
38,ANDREJ GACINA,CRO,BYE,LIN YUN-JU,,,,, Second round
39,WANG YANG,SVK,WANG CHUQIN,,,,,, First round
40,EDUARD IONESCU,ROU,BYE,KAO CHENG-JUI,,,,, Second round
41,MILOSZ REDZIMSKI,POL,BYE,ANDERS LIND,,,,, Second round
42,BRIAN AFANADOR,PUR,BYE,,,,,, First round
43,ALBERTO MINO,ECU,BYE,OMAR ASSAR,,,,, Second round
44,MARTIN ALLEGRO,BEL,BYE,,,,,, First round
45,SANTIAGO LORENZO,ARG,BYE,,,,,, First round
46,MARCOS MADRID,MEX,BYE,,,,,, First round
47,IZAAC QUEK,SGP,BYE,DARKO JORGIC,,,,, First round
48,VITOR ISHIY,BRA,BYE,DIMITRIJ OVTCHAROV,,,,, Second round
59,KANAK JHA,USA,VLADISLAV URSU,PANAGIOTIS GIONIS,FAN ZHENDONG,,,,Round of 16
