Player,Win,Loss,Total Matches,Win Rate (%)
WANG Chuqin,17,2,19,89.47
LIANG Jingkun,13,4,17,76.47
FAN Zhendong,12,4,16,75.0
MA Long,9,3,12,75.0
Dang QIU,9,4,13,69.23
Patrick FRANZISKA,9,4,13,69.23
Felix LEBRUN,11,5,16,68.75
Tomokazu HARIMOTO,10,5,15,66.67
LIN Shidong,6,3,9,66.67
Hiroto SHINOZUKA,2,1,3,66.67
Hugo CALDERANO,9,5,14,64.29
CHO Daeseong,5,3,8,62.5
Timo BOLL,5,3,8,62.5
LIN Gaoyuan,6,4,10,60.0
Maharu YOSHIMURA,3,2,5,60.0
Ovidiu IONESCU,3,2,5,60.0
Sharath Kamal ACHANTA,3,2,5,60.0
JANG Woojin,7,5,12,58.33
LIN Yun-Ju,7,5,12,58.33
Dimitrij OVTCHAROV,5,4,9,55.56
Jonathan GROTH,4,4,8,50.0
Quadri ARUNA,3,3,6,50.0
Alvaro ROBLES,2,2,4,50.0
Benedikt DUDA,2,2,4,50.0
Kristian KARLSSON,2,2,4,50.0
Noshad ALAMIYAN,2,2,4,50.0
Mattias FALCK,1,1,2,50.0
XIANG Peng,1,1,2,50.0
Darko JORGIC,4,5,9,44.44
LEE Sang Su,3,4,7,42.86
CHUANG Chih-Yuan,2,3,5,40.0
Omar ASSAR,3,5,8,37.5
Alexis LEBRUN,2,4,6,33.33
KAO Cheng-Jui,2,4,6,33.33
LIM Jonghoon,2,4,6,33.33
Simon GAUZY,2,4,6,33.33
Truls MOREGARD,2,4,6,33.33
Daniel HABESOHN,1,2,3,33.33
FENG Yi-Hsin,1,2,3,33.33
Nicholas LUM,1,2,3,33.33
Ruwen FILUS,1,2,3,33.33
Anton KALLBERG,2,5,7,28.57
Shunsuke TOGAMI,2,5,7,28.57
AN Jaehyun,1,3,4,25.0
Liam PITCHFORD,1,3,4,25.0
OH Junsung,1,3,4,25.0
Sora MATSUSHIMA,1,4,5,20.0
Anders LIND,0,4,4,0.0
Edward LY,0,4,4,0.0
Marcos FREITAS,0,4,4,0.0
QUEK Izaac,0,3,3,0.0
WONG Chun Ting,0,3,3,0.0
Aditya SAREEN,0,2,2,0.0
Finn LUU,0,2,2,0.0
Joao GERALDO,0,2,2,0.0
Kirill GERASSIMENKO,0,2,2,0.0
Nicolas BURGOS,0,2,2,0.0
Tiago APOLONIA,0,2,2,0.0
Tomislav PUCAR,0,2,2,0.0
Abdulaziz BU SHULAIBI,0,1,1,0.0
Ahmed SALEH,0,1,1,0.0
Ali ALKHADRAWI,0,1,1,0.0
Andy PEREIRA,0,1,1,0.0
CHEW Zhe Yu Clarence,0,1,1,0.0
CHO Seungmin,0,1,1,0.0
Can AKKUZU,0,1,1,0.0
Filip ZELJKO,0,1,1,0.0
Kanak JHA,0,1,1,0.0
Khalid ALSHAREIF,0,1,1,0.0
Maciej KUBIK,0,1,1,0.0
Martin ALLEGRO,0,1,1,0.0
Milosz REDZIMSKI,0,1,1,0.0
PANG Yew En Koen,0,1,1,0.0
Paul DRINKHALL,0,1,1,0.0
